year,rcp2_6,rcp4_5,rcp8_5
2026,1.212,1.228,1.832
2027,1.235,1.285,1.895
2028,1.258,1.342,1.958
2029,1.282,1.398,2.022
2030,1.305,1.455,2.085
2031,1.328,1.512,2.148
2032,1.352,1.568,2.212
2033,1.375,1.625,2.275
2034,1.398,1.682,2.338
2035,1.422,1.738,2.402
2036,1.445,1.795,2.465
2037,1.468,1.852,2.528
2038,1.492,1.908,2.592
2039,1.515,1.965,2.655
2040,1.538,2.022,2.718
2041,1.562,2.078,2.782
2042,1.585,2.135,2.845
2043,1.608,2.192,2.908
2044,1.632,2.248,2.972
2045,1.655,2.305,3.035
2046,1.678,2.362,3.098
2047,1.702,2.418,3.162
2048,1.725,2.475,3.225
2049,1.748,2.532,3.288
2050,1.772,2.588,3.352
2051,1.795,2.645,3.415
2052,1.818,2.702,3.478
2053,1.842,2.758,3.542
2054,1.865,2.815,3.605
2055,1.888,2.872,3.668
2056,1.897,2.892,3.759
2057,1.906,2.912,3.850
2058,1.914,2.932,3.941
2059,1.923,2.952,4.033
2060,1.931,2.972,4.124
2061,1.940,2.992,4.215
2062,1.949,3.012,4.306
2063,1.957,3.032,4.397
2064,1.966,3.052,4.488
2065,1.974,3.072,4.579
2066,1.983,3.092,4.670
2067,1.991,3.112,4.761
2068,2.000,3.132,4.852
2069,2.009,3.152,4.943
2070,2.017,3.172,5.034
2071,2.026,3.192,5.125
2072,2.034,3.212,5.216
2073,2.043,3.232,5.307
2074,2.051,3.252,5.398
2075,2.060,3.272,5.489
2076,2.069,3.292,5.580
2077,2.077,3.312,5.671
2078,2.086,3.332,5.762
2079,2.094,3.352,5.853
2080,2.103,3.372,5.944
2081,2.111,3.392,6.035
2082,2.120,3.412,6.126
2083,2.129,3.432,6.217
2084,2.137,3.452,6.308
2085,2.146,3.472,6.399
2086,2.154,3.492,6.490
2087,2.163,3.512,6.581
2088,2.171,3.532,6.672
2089,2.180,3.552,6.763
2090,2.189,3.572,6.854
2091,2.197,3.592,6.945
2092,2.206,3.612,7.037
2093,2.214,3.632,7.128
2094,2.223,3.652,7.219
2095,2.231,3.672,7.310
2096,2.240,3.692,7.401
2097,2.249,3.712,7.492
2098,2.257,3.732,7.583
2099,2.266,3.752,7.674
2100,2.274,3.772,7.765
2101,2.283,3.792,7.857
2102,2.291,3.812,7.948
2103,2.300,3.832,8.039
2104,2.309,3.852,8.130
2105,2.317,3.872,8.221
2106,2.326,3.892,8.312
2107,2.334,3.912,8.403
2108,2.343,3.932,8.494
2109,2.351,3.952,8.585
2110,2.360,3.972,8.676
2111,2.369,3.992,8.767
2112,2.377,4.012,8.858
2113,2.386,4.032,8.949
2114,2.394,4.052,9.040
2115,2.403,4.072,9.131
2116,2.411,4.092,9.222
2117,2.420,4.112,9.313
2118,2.429,4.132,9.404
2119,2.437,4.152,9.495
2120,2.446,4.172,9.586
2121,2.454,4.192,9.677
2122,2.463,4.212,9.768
2123,2.471,4.232,9.859
2124,2.480,4.252,9.950
2125,2.489,4.272,10.041
2126,2.497,4.292,10.132
